Vaccination Centers,Testing,Oxygen Cylinders,Beds,Medicines ,Instagram Pages
https://www.cowin.gov.in/home (Govt vaccination centers),https://www.diagnosticcentres.in/home/search/ ,https://covid19-twitter.in/,https://covid19-twitter.in/,https://covid19-twitter.in/,https://instagram.com/yellowwarriorsindia?igshid=1pjbzqj2w68kf
http://health.delhigovt.nic.in/wps/wcm/connect/67ac628041c0e9b4a75ab728c2355f02/136PCVC.pdf?MOD=AJPERES&lmod=-401092455&CACHEID=67ac628041c0e9b4a75ab728c2355f02 (pvt vaccination centers),,https://docs.google.com/spreadsheets/d/1skf6C84LO9G64bJuN30eUY-jFYNz4bEJIEJoQ2ac_t8/htmlview#,https://docs.google.com/spreadsheets/d/1skf6C84LO9G64bJuN30eUY-jFYNz4bEJIEJoQ2ac_t8/htmlview#,https://docs.google.com/spreadsheets/d/1skf6C84LO9G64bJuN30eUY-jFYNz4bEJIEJoQ2ac_t8/htmlview#,https://instagram.com/teens4teens.in?igshid=899oelguq1tp
,,http://corona.delhi.gov.in/,http://corona.delhi.gov.in/,http://corona.delhi.gov.in/,
,,https://covidresource.glideapp.io/,https://covidresource.glideapp.io/,https://covidresource.glideapp.io/,https://instagram.com/covidaidresources?igshid=1jyb2r0k34jtx
,,https://coronaresources.in/,https://coronaresources.in/,https://coronaresources.in/,https://instagram.com/cov.id911?igshid=14xp6b0yog8ip
,,https://www.theuncutteam.com/covidresources,https://www.theuncutteam.com/covidresources,https://www.theuncutteam.com/covidresources,https://instagram.com/covid19help2021?igshid=1fkj1rsw3s035
,,https://docs.google.com/spreadsheets/d/1K5uAC90MgrDPtaBVfPnmT_llqjrjG-NR6l6RsdsG97A/htmlview,https://docs.google.com/spreadsheets/d/1K5uAC90MgrDPtaBVfPnmT_llqjrjG-NR6l6RsdsG97A/htmlview,https://docs.google.com/spreadsheets/d/1K5uAC90MgrDPtaBVfPnmT_llqjrjG-NR6l6RsdsG97A/htmlview,
,,https://docs.google.com/spreadsheets/d/1skf6C84LO9G64bJuN30eUY-jFYNz4bEJIEJoQ2ac_t8/htmlview#,https://docs.google.com/spreadsheets/d/1skf6C84LO9G64bJuN30eUY-jFYNz4bEJIEJoQ2ac_t8/htmlview#,https://docs.google.com/spreadsheets/d/1skf6C84LO9G64bJuN30eUY-jFYNz4bEJIEJoQ2ac_t8/htmlview#,
,,,https://covidggn.com/Public/Pages/Gurugram-Hospitals,https://readytofightcovid.in/,
